,C1,C2,C3,y,Fraud_amount
0,-4.61731920124708,7.651076428155103,-2.0122951679857857,0.0,0.0
1,-1.1596151971877193,-2.3900825040407234,-0.12802122544720004,0.0,0.0
2,-1.1703927283117173,-1.732028322458855,-1.1524368323733578,0.0,0.0
3,-1.5007513449000538,-1.9904209272257152,0.9318370811724983,0.0,0.0
4,-4.112979865326654,7.748288862932449,-1.939365443908298,0.0,0.0
5,-4.482721515088141,5.942734504127786,-1.5983163663354512,0.0,0.0
6,-2.2775694242189513,-0.7688532286808542,-0.9503246675700148,0.0,0.0
7,-1.7205536693463659,0.5495068173494321,0.12624700965818333,0.0,0.0
8,4.799544962272679,-0.8593306300048353,0.3471816078172356,0.0,0.0
9,-3.9783821791677156,6.039946938905602,-1.5253866422583957,0.0,0.0
10,-1.7205536693463659,0.5495068173494325,0.1262470096581825,0.0,0.0
11,3.6249406964637636,-0.13457364642764347,-2.6033020120544403,0.0,0.0
12,3.6249406964637636,-0.1345736464276435,-2.6033020120544403,0.0,0.0
13,0.8247806031735386,0.29574410422863684,4.073212890543447,0.0,0.0
14,-0.5052410297091889,-1.3181243207173767,-0.519759054035932,0.0,0.0
15,4.3435628841666905,-0.38096728327876894,-3.1155069916796228,0.0,0.0
16,4.3435628841666905,-0.38096728327876894,-3.1155069916796228,0.0,0.0
17,-1.446639876542176,-1.598604319014577,-1.6325874260255113,0.0,0.0
18,-1.0635480685261542,0.4076628059528527,3.686105087080696,0.0,0.0
19,3.9439665218284783,0.6890220079467808,-1.834889427968411,0.0,0.0
20,-0.907961782838116,-1.7522891308877042,-1.3606417833231161,0.0,0.0
21,-1.9812257740969057,-0.9599451717293762,-0.9322917838045706,0.0,0.0
22,-1.766380858460995,-1.8560994721579653,-0.053029029420909035,0.0,0.0
23,-1.4161825018074492,-1.65284434457305,0.1939761172876791,0.0,0.0
24,-4.42157658983815,7.173803391439161,-1.967297879739805,0.0,0.0
25,0.753583992375562,1.0453520602265223,2.617884016641032,0.0,0.0
26,-1.6943256444045427,-0.8399796478280309,-0.6721839392593792,0.0,0.0
27,-0.390600447855416,0.9100722974762957,7.443143764119283,0.0,0.0
28,-2.4790348548833245,-2.009528499755945,0.4539346429548865,0.0,0.0
29,-3.9172372539177234,7.271015826216971,-1.8943681556627492,0.0,0.0
30,-1.7649008630719167,-0.4047198464470779,-0.8674818605209216,0.0,0.0
31,-0.6314733416147643,-1.1504275286022299,-1.0502225604432682,0.0,0.0
32,-1.9969531597755148,-0.9933486514431525,-0.8568232665408332,0.0,0.0
33,-0.22299096552738,-2.3657341327213235,2.3381601122711277,0.0,0.0
34,3.9439665218284783,0.6890220079467808,-1.834889427968411,0.0,0.0
35,3.9439665218284783,0.6890220079467808,-1.834889427968411,0.0,0.0
36,0.28494937863042863,-2.419642601721112,-0.41059638288395206,0.0,0.0
37,-1.8537115150229597,-0.4187926072536272,-0.8281665708123277,0.0,0.0
38,-1.6934468586704832,-2.066595537900231,-0.044277217077663654,0.0,0.0
